Industries applied,Category,Sub Category,Problem ID,Problem Print Title,Problem text,Problem Weight,Problem Time,Benefit Time,Benefit Cost,Benefit Reinforcement,Solution
"furniture, jewelry, footwear, fashion, other",design,Technical Design,techdrawcli,Technical Drawing Iteration,Our design team has to remake technical drawings many times until we align the final design details with the client.,3,300,15,,"Iterate through complex drawings with ease. | Adopt parametric modelling tools, that make it easy for your design team to adjust drawings without remaking them from scratch.","Adopting a 3D viewer tool that has sharing enabled can make it very easy to send designs to clients and to receive feedback on it, without wasting time on producing renders and presentations."
"furniture, jewelry, footwear, fashion, other",design,Technical Design,techdrawmis,Technical Drawing Iteration,"Technical drawings get very complex, and it's easy to produce misaligning pieces upon changing details.",3,120,15,,"Iterate through complex drawings with ease. | Adopt parametric modelling tools, that make it easy for your design team to adjust drawings without remaking them from scratch.","In terms of 3D design, if your team is eager to learn, a solution is to adopt parametric tools, such as Grasshopper (for furniture or footwear) or Browzwear (for fashion). A more advanced option is to build your own automatic parametric tool that adjusts all the components of a design to new dimensions in real time."
"furniture, jewelry, footwear, fashion, other",design,Technical Design,techdetail,Technical Drawing Iteration,There's a constant back and forth between design and production over what certain technical representation mean and how they should be made physically.,1,60,15,,"Connect design instructions in one place. | Build a simple searchable company wiki where the whole team can visualise design instruction, whether it's 3D, 2D or text.","You can bridge the information flow between design and production by adopting a joint digital workspace, easily accessible from mobile, where designers and technical people on the factory floor can access production drawings and written instructions, as well as submit questions and receive answers."
"furniture, jewelry, footwear, fashion, food, beverages, other",production,Communication,descomm,Communicating design & production details,"Communicating how the final product should be like feels hard, and there are a lot of questions you (or the designer) need to answer constantly.",2,120,15,,"Connect design instructions in one place. | Build a simple searchable company wiki where the whole team can visualise design instruction, whether it's 3D, 2D or text.","Implement an intuitive, easy to search company wiki, that's accessible both through mobile and desktop. Digitalise the knowledge in your team and allow people to ask your company's platform instead of you. "
"furniture, jewelry, footwear, fashion, food, beverages, other",ecommerce,E-Commerce,ecommup,E-Commerce Product Uploading,Our team spends over an hour daily on uploading products to our online store.,2,60,15,,"Shift your focus to operations and growth. | Have an automated system taking care of routine ecommerce tasks, such as photo editing, writing descriptions and uploading products. ",Upload and manage hundreds of products at once by implementing an automatied ecommerce uploader module.
"furniture, jewelry, footwear, fashion, food, beverages, other",ecommerce,E-Commerce,ecomphotup,Editing photos for website/ socials,We spend 2+ hours every day editing product photos.,2,120,0.5,,"Shift your focus to operations and growth. | Have an automated system taking care of routine ecommerce tasks, such as photo editing, writing descriptions and uploading products. ","Edit and resize photos for multiple target platforms in seconds, using an automatic photo editor module that learns to match your visual aesthetic."
"furniture, jewelry, footwear, fashion, food, beverages, other",ecommerce,E-Commerce,ecomproddescr,Writing product descriptions,Our team writes descriptions and specs for over 10 new products daily.,1,60,0.5,,"Shift your focus to operations and growth. | Have an automated system taking care of routine ecommerce tasks, such as photo editing, writing descriptions and uploading products. ",Generate product descriptions that fit your tone and writing style using a GPT-based module that compiles product descriptions based on product specifications.
"furniture, jewelry, footwear, fashion, food, beverages, other",ecommerce,E-Commerce,ecomplatfman,Selling on multiple platforms,We struggle to keep inventory in sync across sales channels.,2,120,0.5,,"Unload the time commitment needed for expansion. | Use an automated sales channel management platform, generate invoices and connect to couriers automatically.","Sell across multiple channels and have your product stock updated in real-time, using a marketplace connector tool. "
"furniture, jewelry, footwear, fashion, food, beverages, other",ecommerce,E-Commerce,ecomplatfinvoic,Invoicing,We manually issue over 10 invoices every day. ,1,50,0.5,,"Unload the time commitment needed for expansion. | Use an automated sales channel management platform, generate invoices and connect to couriers automatically.",Have your invoices automatically populated and delivered to customers by implementing an invoice generator module. 
"furniture, jewelry, footwear, fashion, food, beverages, other",ecommerce,Production Management,ecomcldb,Customer and order details,"We manually copy order details between sales, invoicing, and shipping, causing delays.",1,120,0.5,,Reduce production mistakes by ensuring the team is aligned. | Bring your team together by implementing a centralised production and factory floor task management app.,"Ensure that order specifications and customer details are correct by implementing a centralised order communication protocol. Have your orders be added to a central database and communicated automatically to employees, shipping providers or accountants."
"furniture, jewelry, footwear, fashion, food, beverages, other",production,Production Management,exspdprschd,Production Management,"We track production in Excel and manually reshuffle orders, causing team misalignment.",2,120,0.5,,Reduce production mistakes by ensuring the team is aligned. | Bring your team together by implementing a centralised production and factory floor task management app.,"Make sure that the entire team is on board with the project schedule by implementing an automated production management module that takes into consideration your employee's schedule, the resources allocated per project, costs, incoming delays and that can modify and update your company's schedule based on real-time factory analytics."
"furniture, jewelry, footwear, fashion, food, beverages, other",production,Production Management,tskmonitprod,Employee Time Management,"Completed production tasks aren’t passed on in real-time,  leading to employee downtime.",2,60,0.5,reducing,Track the production of parts in real-time. | Keep track of what has been produced and of their contribution to the project status by implementing mobile and IoT factory floor solutions.,Reduce employee downtime by implementing a notification system that runs on their mobiles/ on factory floor tablets and tells them when a piece is ready for processing in their department.
"furniture, jewelry, footwear, fashion, food, beverages, other",production,Production Management,dppmislo,Delays in Production,"Completed pieces are often misplaced or lost, causing delays in assembly.",3,300,,,Track the production of parts in real-time. | Keep track of what has been produced and of their contribution to the project status by implementing mobile and IoT factory floor solutions.,"Keep track of where completed pieces are stored by implementing a smart tracking system, such as disposable NFC tags. "
